cuda:1
Namespace(data_dir='./data', log_dir='.', master_address='tcp://localhost:2222', rank=0, world_size=1, network='Resnet50', compress=None, method=None, ratio=0.5, threshold=0.001, qstates=0, momentum=0.0, extras='11', k_min0=0.01, k_max0=0.001, k_min1=0.01, k_max1=0.001, memory=0, gpu=1)
Downloading datasets
cuda:1
Warming up cudnn on random inputs on device cuda:1
Starting timer cuda:1
       epoch           lr   train_time   train_loss    train_acc    test_time    test_loss     test_acc   total_time
          94       0.1842      71.4215       2.1762       0.4692       4.7315       2.6635       0.3961    6721.3651
          95       0.1818      71.0285       2.1703       0.4692       4.7268       2.6901       0.3976    6792.3936
          96       0.1794      70.9450       2.1452       0.4751       4.6537       2.6115       0.4087    6863.3387
          97       0.1770      71.3662       2.1316       0.4789       4.6865       2.6135       0.4070    6934.7048
          98       0.1745      71.6509       2.1081       0.4825       4.7660       3.0242       0.3485    7006.3557
          99       0.1721      71.7813       2.1040       0.4838       4.5911       2.7030       0.3962    7078.1370
         100       0.1697      71.4378       2.0827       0.4870       4.5971       2.6972       0.3904    7149.5748
         101       0.1673      71.1415       2.0713       0.4902       4.7387       2.8051       0.3762    7220.7163
         102       0.1648      71.8680       2.0559       0.4934       4.5845       2.7151       0.3964    7292.5843
         103       0.1624      71.8881       2.0457       0.4961       4.5440       2.6975       0.3987    7364.4724
         104       0.1600      71.8824       2.0190       0.5013       4.6036       2.7508       0.3942    7436.3548
         105       0.1576      71.2960       2.0029       0.5056       4.5996       2.8384       0.3787    7507.6508
         106       0.1552      71.6117       1.9968       0.5087       4.5923       2.7978       0.3926    7579.2625
         107       0.1527      71.3922       1.9756       0.5112       4.8402       2.7162       0.4019    7650.6547
         108       0.1503      71.3010       1.9628       0.5132       4.6748       2.6330       0.4155    7721.9557
         109       0.1479      71.5201       1.9440       0.5192       4.5838       2.7827       0.4000    7793.4758
         110       0.1455      71.5618       1.9332       0.5207       4.7185       2.7523       0.4004    7865.0376
         111       0.1430      71.5814       1.9132       0.5240       4.6008       2.7068       0.4059    7936.6190
         112       0.1406      71.8521       1.8927       0.5298       4.6584       2.6743       0.4120    8008.4711
         113       0.1382      71.8937       1.8801       0.5337       4.7244       2.8495       0.3906    8080.3648
         114       0.1358      72.0829       1.8612       0.5375       4.7986       2.7906       0.3933    8152.4478
         115       0.1333      71.4831       1.8628       0.5368       4.6735       2.7924       0.3975    8223.9308
         116       0.1309      71.4551       1.8222       0.5464       4.6870       2.7542       0.4040    8295.3859
         117       0.1285      71.2767       1.8085       0.5497       4.5864       2.6475       0.4207    8366.6626
         118       0.1261      71.6336       1.7973       0.5521       4.5873       2.6648       0.4133    8438.2963
         119       0.1236      71.4394       1.7816       0.5548       4.8171       2.6317       0.4290    8509.7357
         120       0.1212      71.7409       1.7684       0.5579       4.6286       2.7885       0.4008    8581.4766
         121       0.1188      70.4494       1.7444       0.5653       4.6224       2.7722       0.4074    8651.9260
         122       0.1164      70.8769       1.7242       0.5665       4.7851       2.8060       0.3972    8722.8028
         123       0.1139      71.8362       1.7116       0.5730       4.6901       2.7619       0.4079    8794.6391
         124       0.1115      71.2944       1.6888       0.5775       4.7062       2.9113       0.3898    8865.9334
         125       0.1091      71.3517       1.6764       0.5786       4.7327       2.7253       0.4204    8937.2852
         126       0.1067      71.1888       1.6522       0.5856       4.5716       2.8679       0.4010    9008.4739
         127       0.1042      71.1414       1.6354       0.5901       4.5177       2.8042       0.4101    9079.6153
         128       0.1018      71.3382       1.6132       0.5954       4.5826       2.7150       0.4270    9150.9535
         129       0.0994      71.0068       1.5888       0.6000       4.7802       2.8375       0.4066    9221.9603
         130       0.0970      71.3411       1.5773       0.6028       4.6636       2.8029       0.4116    9293.3015
         131       0.0945      71.6743       1.5521       0.6101       4.7588       2.8257       0.4082    9364.9758
         132       0.0921      71.2535       1.5287       0.6165       4.7213       2.6119       0.4424    9436.2293
         133       0.0897      71.7562       1.5179       0.6177       4.7067       2.7912       0.4154    9507.9854
         134       0.0873      71.2798       1.4904       0.6259       4.7812       2.7492       0.4195    9579.2653
         135       0.0848      71.6927       1.4749       0.6274       4.6837       2.7643       0.4235    9650.9579
         136       0.0824      71.2502       1.4652       0.6324       4.6187       2.6519       0.4350    9722.2081
         137       0.0800      70.7252       1.4327       0.6391       4.7520       2.8772       0.4126    9792.9333
         138       0.0776      70.7890       1.4187       0.6428       4.8831       2.8312       0.4233    9863.7223
         139       0.0752      70.7311       1.3918       0.6497       4.7183       2.7988       0.4245    9934.4534
         140       0.0727      71.5077       1.3771       0.6533       4.9814       2.7654       0.4278   10005.9611
         141       0.0703      72.1511       1.3560       0.6602       4.8474       2.6883       0.4395   10078.1122
         142       0.0679      71.7438       1.3336       0.6652       4.7532       2.7512       0.4368   10149.8560
         143       0.0655      71.4248       1.3087       0.6709       4.8741       2.9175       0.4098   10221.2808
         144       0.0630      71.7496       1.2948       0.6738       4.6909       2.6862       0.4400   10293.0304
         145       0.0606      70.8036       1.2720       0.6822       4.6820       2.6818       0.4429   10363.8340
         146       0.0582      71.3042       1.2508       0.6857       4.8301       2.6856       0.4407   10435.1382
         147       0.0558      71.4000       1.2255       0.6938       4.6485       2.8025       0.4222   10506.5382
         148       0.0533      71.6585       1.1972       0.7007       4.6235       2.7445       0.4330   10578.1968
         149       0.0509      71.5765       1.1966       0.7000       4.6288       2.6471       0.4494   10649.7732
         150       0.0485      71.1759       1.1548       0.7114       4.6863       2.6669       0.4447   10720.9491
         151       0.0461      71.3061       1.1402       0.7161       4.5440       2.6964       0.4376   10792.2552
         152       0.0436      71.8865       1.1187       0.7216       4.5581       2.7612       0.4390   10864.1418
         153       0.0412      71.7906       1.0970       0.7277       4.6252       2.6189       0.4576   10935.9324
         154       0.0388      71.6658       1.0651       0.7355       4.5886       2.6521       0.4526   11007.5982
         155       0.0364      71.2048       1.0473       0.7417       4.6899       2.6729       0.4456   11078.8030
         156       0.0339      70.7075       1.0210       0.7465       4.5880       2.6272       0.4535   11149.5105
         157       0.0315      71.4726       1.0085       0.7489       4.6270       2.6184       0.4515   11220.9831
         158       0.0291      71.3978       0.9818       0.7576       4.8127       2.6354       0.4487   11292.3809
         159       0.0267      71.3516       0.9546       0.7633       4.5942       2.6000       0.4595   11363.7325
         160       0.0242      71.3952       0.9331       0.7708       4.5877       2.5463       0.4627   11435.1277
         161       0.0218      71.9170       0.9143       0.7763       4.6664       2.5898       0.4573   11507.0447
         162       0.0194      71.9319       0.9028       0.7792       4.6490       2.5791       0.4585   11578.9766
         163       0.0170      71.0630       0.8810       0.7855       4.6057       2.5534       0.4612   11650.0396
         164       0.0145      71.0397       0.8569       0.7911       4.6254       2.5330       0.4680   11721.0793
         165       0.0121      71.4030       0.8437       0.7955       4.5193       2.5198       0.4676   11792.4823
         166       0.0097      71.3438       0.8293       0.7989       4.4892       2.5136       0.4689   11863.8261
         167       0.0073      71.2890       0.8109       0.8045       4.6444       2.5021       0.4716   11935.1151
         168       0.0048      71.3030       0.7924       0.8079       4.5050       2.4885       0.4748   12006.4182
         169       0.0024      71.1330       0.7806       0.8113       4.5526       2.4761       0.4751   12077.5512
         170       0.0000      71.3032       0.7653       0.8159       4.7003       2.4754       0.4745   12148.8543
